所属模块,用例标题,前置条件,步骤,预期,关键词,优先级,用例类型,适用阶段,备注
/crm_营销管理_潜在客户管理(#4),验证潜在客户管理显示的正确性,,"1. 点击首页【营销管理】中的【潜在客户管理】
","1.潜在客户管理页面内容显示正常
",,1,功能测试,,
/crm_营销管理_潜在客户管理(#4),验证【添加】按钮是否正常,,"1. 点击首页【营销管理】中的【潜在客户管理】
2. 点击【添加】按钮","1. v
2. 点击后弹出具有‘潜在客户名称’、‘成功几率’、‘联系人’、‘联系电话’、‘创建人’、‘客户来源’、‘潜在客户描述’的输入框
",,1,功能测试,,
/crm_营销管理_潜在客户管理(#4),添加_验证"潜在客户名称"下拉框条目内容是否正确,,"1. 点击首页【营销管理】中的【潜在客户管理】
2. 点击【添加】按钮
3. 打开下拉框，根据需求说明书确定列表的各项内容正确，没有丢失或错误

","1. v
2. v
3.内容正确，没有丢失或错误",,1,功能测试,,
/crm_营销管理_潜在客户管理(#4),添加_验证"潜在客户名称"下拉框是否可以使用滚动条,,"1. 点击首页【营销管理】中的【潜在客户管理】
2. 点击【添加】按钮
3. 打开下拉框，使用滚动条，查看内容

","1. v
2. v
3. 可以使用滚动条",,1,功能测试,,
/crm_营销管理_潜在客户管理(#4),添加_验证"潜在客户名称"下拉框是否可以逐一执行列表框中每个条目,,"1. 点击首页【营销管理】中的【潜在客户管理】
2. 点击【添加】按钮
3. 打开下拉框，逐一执行列表框中每个条目

","1. v
2. v
3. 可以逐一执行每个条目",,1,功能测试,,
/crm_营销管理_潜在客户管理(#4),添加_验证"潜在客户名称"下拉框为空执行添加操作,,"1. 点击首页【营销管理】中的【潜在客户管理】
2. 点击【添加】按钮
3. 打开下拉框，使选项栏为空
4. 其余输入框使用正确数据进行添加

","1. v
2. v
3. v
4. 报错，但是报错有问题，不规范",,1,功能测试,,bug
/crm_营销管理_潜在客户管理(#4),添加_验证"潜在客户名称"下拉框自行输入内容，是否能够进行添加,,"1. 点击首页【营销管理】中的【潜在客户管理】
2. 点击【添加】按钮
3. 打开下拉框，自行输入数据
4. 其余输入框使用正确数据进行添加

","1. 
2. 
3. 不可
",,1,功能测试,,bug，报错，但是报错有问题，不规范
/crm_营销管理_潜在客户管理(#4),添加_验证"添加潜在客户"中"成功几率"栏目，输入数字>=1且<=99，能否进行添加,,"1. 
2. 
3. num:10","1. 
2. 
3.可",,1,功能测试,,
/crm_营销管理_潜在客户管理(#4),添加_验证"添加潜在客户"中"成功几率"栏目，输入数字为0，能否进行添加,,"1. 
2. 
3. num:10","1. 
2. 
3.可",,1,功能测试,,
/crm_营销管理_潜在客户管理(#4),添加_验证"添加潜在客户"中"成功几率"栏目，输入数字为100，能否进行添加,,"1. 
2. 
3. num:10","1. 
2. 
3.可",,1,功能测试,,
/crm_营销管理_潜在客户管理(#4),添加_验证"添加潜在客户"中"成功几率"栏目，输入数字为101，能否进行添加,,"1. 
2. 
3. num:10","1. 
2. 
3.可",,1,功能测试,,bug，添加应该失败
/crm_营销管理_潜在客户管理(#4),添加_验证"添加潜在客户"中"成功几率"栏目，输入数字为负数，能否进行添加,,"1. 
2. 
3. num:10","1. 
2. 
3.可",,1,功能测试,,bug，添加应该失败
/crm_营销管理_潜在客户管理(#4),添加_验证"添加潜在客户"中"成功几率"栏目，输入数字为小数，能否进行添加,,"1. 
2. 
3. num:10","1. 
2. 
3.不可",,1,功能测试,,bug，虽然不能添加，但是没有提示
